t_h,Q
4.13,6062.101695963242
4.14,6073.416357190152
4.15,6084.659667404686
4.16,6095.83258470411
4.17,6106.936048736195
4.18,6117.970981135221
4.19,6128.93828594674
4.2,6139.838850041329
4.21,6150.6735435176515
4.22,6161.443220095026
4.23,6172.148717495803
4.24,6182.790857817785
4.25,6193.370447896938
4.26,6203.888279660655
4.2700000000000005,6214.345130471799
4.28,6224.741763463783
4.29,6235.078927866903
4.3,6245.3573593261635
4.3100000000000005,6255.577780210832
4.32,6265.740899915923
4.33,6275.847415155842
4.34,6285.898010250395
4.3500000000000005,6295.893357403385
4.36,6305.8341169739715
4.37,6315.72093774101
4.38,6325.554457160571
4.39,6335.335301616789
4.4,6345.064086666287
4.41,6354.741417276276
4.42,6364.367888056579
4.43,6373.944083485704
4.44,6383.470578131133
4.45,6392.94793686401
4.46,6402.376715068364
4.47,6411.757458845023
4.48,6421.090705210375
4.49,6430.376982290102
4.5,6439.616809508054
4.51,6448.810697770359
4.5200000000000005,6457.959149644952
4.53,6467.062659536592
4.54,6476.121713857548
4.55,6485.136791194028
4.5600000000000005,6494.108362468506
4.57,6503.036891098033
4.58,6511.922833148655
4.59,6520.766637486045
4.6000000000000005,6529.568745922452
4.61,6538.32959336007
4.62,6547.049607930924
4.63,6555.729211133359
4.64,6564.368817965249
4.65,6572.968837053988
4.66,6581.529670783373
4.67,6590.051715417442
4.68,6598.535361221377
4.69,6606.980992579517
4.7,6615.388988110602
4.71,6623.759720780275
4.72,6632.09355801095
4.73,6640.390861789115
4.74,6648.65198877011
4.75,6656.877290380485
4.76,6665.067112917977
4.7700000000000005,6673.221797649174
4.78,6681.3416809049395
4.79,6689.427094173637
4.8,6697.478364192231
4.8100000000000005,6705.495813035309
4.82,6713.479758202081
4.83,6721.430512701416
4.84,6729.348385134952
4.8500000000000005,6737.23367977835
4.86,6745.086696660717
4.87,6752.907731642274
4.88,6760.697076490274
4.89,6768.455018953267
4.9,6776.181842833699
4.91,6783.877828058934
4.92,6791.543250750707
4.93,6799.178383293071
4.94,6806.783494398859
4.95,6814.358849174702
4.96,6821.904709184656
4.97,6829.421332512441
4.98,6836.908973822364
4.99,6844.3678844189235
5.0,6851.798312305156
5.01,6859.200502239742
5.0200000000000005,6866.574695792895
5.03,6873.921131401092
5.04,6881.240044420637
5.05,6888.531667180114
5.0600000000000005,6895.796229031741
5.07,6903.033956401664
5.08,6910.245072839205
5.09,6917.429799065096
5.1000000000000005,6924.588353018719
5.11,6931.720949904387
5.12,6938.827802236671
5.13,6945.90911988481
5.14,6952.96511011622
5.15,6959.995977639129
5.16,6967.001924644349
5.17,6973.983150846208
5.18,6980.9398535226765
5.19,6987.872227554681
5.2,6994.78046546465
5.21,7001.664757454284
5.22,7008.525291441601
5.23,7015.3622530972325
5.24,7022.175825880028
5.25,7028.966191071957
5.26,7035.73352781233
5.2700000000000005,7042.478013131366
5.28,7049.199821983108
5.29,7055.899127277703
5.3,7062.576099913065
5.3100000000000005,7069.230908805941
5.32,7075.863720922372
5.33,7082.47470130759
5.34,7089.064013115343
5.3500000000000005,7095.631817636665
5.36,7102.1782743281165
5.37,7108.703540839486
5.38,7115.207773040981
5.39,7121.691125049912
5.4,7128.153749256887
5.41,7134.595796351514
5.42,7141.0174153476355
5.43,7147.418753608107
5.44,7153.79995686911
5.45,7160.161169264033
5.46,7166.502533346913
5.47,7172.824190115458
5.48,7179.126279033651
5.49,7185.408938053951
5.5,7191.672303639091
5.51,7197.916510783493
5.5200000000000005,7204.141693034305
5.53,7210.347982512047
5.54,7216.535509930922
5.55,7222.704404618739
5.5600000000000005,7228.85479453651
5.57,7234.986806297688
5.58,7241.100565187078
5.59,7247.196195179418
5.6000000000000005,7253.273818957637
5.61,7259.333557930795
5.62,7265.375532251724
5.63,7271.399860834354
5.64,7277.406661370748
5.65,7283.396050347853
5.66,7289.368143063955
5.67,7295.323053644861
5.68,7301.2608950598105
5.69,7307.181779137113
5.7,7313.085816579531
5.71,7318.973116979394
5.72,7324.843788833476
5.73,7330.69793955761
5.74,7336.535675501074
5.75,7342.35710196073
5.76,7348.162323194933
5.7700000000000005,7353.951442437217
5.78,7359.724561909746
5.79,7365.481782836556
5.8,7371.223205456578
5.8100000000000005,7376.948929036451
5.82,7382.659051883122
5.83,7388.353671356251
5.84,7394.032883880416
5.8500000000000005,7399.696784957116
5.86,7405.3454691765855
5.87,7410.979030229431
5.88,7416.597560918064
5.89,7422.20115316797
5.9,7427.789898038787
5.91,7433.363885735223
5.92,7438.923205617793
5.93,7444.467946213388
5.94,7449.998195225681
5.95,7455.514039545381
5.96,7461.015565260311
5.97,7466.50285766534
5.98,7471.976001272168
5.99,7477.435079818945
6.0,7482.8801762797575
