pop_size,ngen,cxpb,tournsize,tree_len_max,init_depth_max,alpha_complexity,seed,size,sec,train_MSE,train_MSE_norm,test_MSE,test_MSE_norm,best_infix
4000,250,0.6,5,25,3,0.0005,1655574,24,15279.89,982896.7428,0.1086163,1869742.812,0.206618393,log(1+exp(((Q + log(1+exp(((log(1+exp(Q)))**2 - log(1+exp((log(1+exp(C3)) - (C1 * C2)))))))) - ((log(1+exp(log(1+exp((2.0434328451276356)**2)))) - (Q)**2))**2)))
4000,250,0.6,5,25,3,0.0005,5655492,13,210.71,1652297.829,0.182589349,3094946.249,0.342011113,((log(1+exp(C3)) + (Q + C1)) - (log(1+exp(1.628064639433361)) / (-1.0049262311420388 / C2)))
4000,250,0.6,5,25,3,0.0005,6028316,25,16005.83,90725.79507,0.010025774,115782.6579,0.012794715,log(1+exp((log(1+exp((C2 - log(1+exp(Q))))) / ((((log(1+exp(C3)) - C3) * (((Q)**2)**2 * log(1+exp(C1)))) - Q) - ((log(1+exp(Q)))**2)**2))))
4000,250,0.6,5,25,4,0.0005,302886,13,9459.98,378092.7104,0.041781633,1149817.965,0.127062149,(((-11.533748681256148)**2 / ((C3 + C1) + (Q - C2))) + (14.42152478686918)**2)
4000,250,0.6,5,25,4,0.0005,3065035,17,8753.41,56787.25649,0.006275351,270393.1,0.029880146,((Q + log(1+exp(Q))) / (log(1+exp(((C2 - C1) - (log(1+exp((Q)**2)))**2))) + log(1+exp(C3))))
4000,250,0.6,5,25,4,0.0005,5042627,16,7985.72,984100.0179,0.108749269,1871403.996,0.206801964,(Q - (log(1+exp((log(1+exp(((log(1+exp(C3)) / 31.224134018988224) - (C2 - C1)))) - (Q)**2))))**2)
4000,250,0.6,5,25,5,0.0005,4633659,20,13352.73,983904.3945,0.108727652,1871124.855,0.206771118,log(1+exp((log(1+exp(log(1+exp((log(1+exp(((C1 + (-0.6532507235303389 / -0.9758612580693307)) + C3))) - C2))))) - (Q - ((Q * Q))**2))))
4000,250,0.6,5,25,5,0.0005,9893214,25,223.38,1638596.3,0.181075243,3059317.435,0.338073904,((((C3 + C1) + (((C2 - Q) + (Q + C1)) / C1)) / (1.9142747369654405 - C1)) - ((C2 - C2) * (C3 - C3)))
4000,250,0.6,5,25,5,0.0005,6195396,25,3076.03,1420124.491,0.156932728,2439388.876,0.269567882,(((((((((Q - C3) * C1) - log(1+exp(log(1+exp(C2))))) - Q) + ((Q)**2 - C2)))**2 - Q) + Q) - (C2 + C3))
4000,250,0.6,5,25,4,0.0002,1589924,17,14801.03,1050203.282,0.116054097,1871706.186,0.206835358,(Q - ((((Q)**2 * Q))**2 + log(1+exp((-0.29839624296084355 * ((C1 * (C3)**2) * C2))))))
4000,250,0.6,5,25,4,0.0002,1390969,25,7041.82,985308.8562,0.108882853,1871498.781,0.206812439,log(1+exp((((log(1+exp(((C3 + log(1+exp(C2))) + log(1+exp(C1))))) - log(1+exp((C1 - C2)))) - (C3 - Q)) - (((Q * Q))**2 + C1))))
4000,250,0.6,5,25,4,0.0002,8829324,24,14079.3,968384.2269,0.107012575,1871241.289,0.206783984,((Q - ((Q - (log(1+exp(Q)))**2))**2) + log(1+exp(((C3 * log(1+exp((((Q + C2) + (C3)**2) - C1)))) * (C2)**2))))
4000,250,0.6,5,25,4,0.0005,8768597,25,12117.09,1022023.799,0.112940087,1871403.996,0.206801964,(Q - (log(1+exp(((log(1+exp(C1)) - ((C1 + log(1+exp(((C1 - (C1 * ((Q - C3) * C2))) * log(1+exp(C3)))))) + Q)))**2)))**2)
4000,250,0.6,5,25,4,0.0005,1061362,22,11067.64,981594.5242,0.108472396,1871663.785,0.206830673,(Q - log(1+exp((((((log(1+exp(((C2 + C2))**2)) + (C1 + C3)))**2 / ((C2 + 0.20800517008152353))**2) + (Q)**2))**2)))
4000,250,0.6,5,25,4,0.0005,3848896,14,226.06,1649749.54,0.182307747,3091695.069,0.341651837,(log(1+exp(Q)) - (((((Q - C2) + 1.769778650479586))**2 + (C1 - C3)))**2)
4000,250,0.6,5,25,4,0.001,2284480,17,211.98,2332337.637,0.257738044,4984661.136,0.550836547,(((((((Q + C1) - C3) + C2))**2)**2 - -1.398018865566455) - (Q - (C3 / C3)))
4000,250,0.6,5,25,4,0.001,7325686,17,7661.92,985483.2932,0.10890213,1871330.296,0.20679382,((1.0076733570071212 - Q) - (((Q)**2 - log(1+exp(((C3 - (C3)**2) * (C2 * C1))))))**2)
4000,250,0.6,5,25,4,0.001,8284863,25,217.95,3292352.816,0.363825786,5816535.404,0.642763909,(((C3 + (((((C1 - (Q + C2)) - log(1+exp((log(1+exp(Q)))**2))) + C1) - -0.866686749361955) - (1.5705580222016757 * -0.5937297114105716))))**2 + (Q - C1))
